0	"Misuse" has a generally less severe connotation than "abuse." Abuse would usually be something that someone does intentionally or without regard for consequences, while misuse is more likely to be unintentional. The meaning is the same in the humanities, sociology, legal studies, and all other fields.
1	The two can be used synonymously, but there is generally a difference at least of degree between them, and often of intended meaning. To "misuse" is "to use incorrectly". For example, if you take a screwdriver and try to use it to paint a picture, you are misusing it; the screwdriver is not designed for painting, and will not do a good job when pressed into that service, but neither the paint, the picture, nor the screwdriver will be damaged as a result of your action. To "abuse" is "to use excessively or damagingly". For example, if you take a screwdriver and try to use it to pry up a manhole cover, you are abusing it; although a screwdriver can often be used to pry up small objects, a manhole cover is much too large for an average screwdriver and you are likely to end up with a bent, damaged screwdriver and an unmoved manhole by the time you give up. In terms of sociology, as @Daniel has also said, the usage is essentially the same, although I'd say you are much less likely to encounter the word "misuse" in this context (or if you do, it is entirely synonymous with "abuse"). If an employer makes his workers engage in a dangerous action without taking appropriate safety precautions, he is abusing the workers ("using them in a way likely to cause damage"), even if they don't actually get injured.
2	The two words are NOT synonyms of each other in general conversations, as you have suggested. The examples you give actually illustrate the differences mentioned by the others who have replied. Misuse is far less serious than abuse. Misuse may be a mistake, but could be intentional. Abuse is almost certainly intentional and may have serious consequences. In your examples: Drug misuse is when you use a drug for the wrong purpose, either by mistake or intentionally. Drug abuse involves misusing a drug to such an extent that it becomes addiction and "willful habit". Then it is abuse. Hence, as in other general usage, abuse is more serious than misuse. You're correct that misuse is not generally used in talking about relationships, because you don't usually talk about misusing a person. But abusing a person is serious. I repeat, your examples of usage of the words in connection with drugs and relationships are merely illustrating - or extensions of - the more general differences, albeit that they have generally accepted fairly specific meanings in those fields.
3	Prepositions are confusing, but this particular use has its logic. You are thinking of the King speaking to the photographer; but this English idiom is driven by the quality of what is said. When you ask for a favour or a gift or make a demand or a request you are asking the other person to give you something, and the idiom employs a preposition which expresses not the direction of the communication but the direction of the giving which is to follow, from the person requested back to the person making the request. The preposition might have been from, but in English the prepositions of and from have a great deal of overlap, and had even more overlap in the past. Note, for instance, that titles and identifiers which express a person's place of origin use of rather than from: the Duke of York, Auld Wat of Harden, and so forth. Very far back in history we held an election between of and from in this context, and of won. So in English we do not say made a request to; we say made a request of.
4	Mercenary as an adjective or noun could provide a suitable description for such a person. mercenary adjective 1. primarily concerned with making money at the expense of ethics noun 1.1 A person primarily concerned with material reward at the expense of ethics Source: ODO Definition of “mercenary”
5	He's a sell out (sense 3). He can do anything for money.
6	Nouns: Grafter. 1, 2 (def. 2 in both cases). Someone who engages in and benefits from graft, which is the abuse of one's position of (often political) power or authority for the purpose of gaining money by illegal or immoral means. It would not be appropriate to call a filing clerk who copied and sold classified papers a grafter. Money-grubber. 1, 2. Someone who's solely or overly interested in money and will take almost any opportunity to acquire more. The term focuses more on the desire for money than the willingness to do anything to get it, though someone money grubbing would be willing to do many things (but not necessarily anything) others aren't in order to get paid. I do know of a word that fits exactly what you're after, but it's extremely rude and vulgar. See below if you're interested. Whore. Typically this means prostitute, but modern and informal usage has expanded it to refer to someone who will do anything, especially immoral or degrading acts, for money or gain. Synonyms (prostitute, hooker, etc.) don't carry this expanded meaning. Adjectives: Venal. The right meaning, but wrong type of word. The noun form, venality, is the quality of being venal, not a person who is venal. For sale. Informal, meaning venal or able to be bought or bribed. "I can't believe Judge Watkins is presiding over the mob trial; everyone knows he's for sale." "His access to the credit card database is for sale to the highest bidder."
7	According to a dictionary: character: - a letter, sign, mark or symbol used in wirting, printing or computers -e.g) Chinese characters / a line of 30 characters long letter: - a written or printed sign representing a sound in speech -e.g,) 'B' is the second letter of the alphabet. Write your name in capital letters. So we can conclude that a letter is a kind of character that represents a sound in speech.
8	In general, a "character" is any mark or symbol that can appear in writing. A "letter" is a character that is part of an alphabet. Basically, a character that represents a sound in the language and that can be combined with other characters to form words. So in English, the letters are A-Z, in both capital and small versions. Characters include the letters, and also punctuation marks like a period or comma, and other symbols included in writing, like a dollar sign. Note that in the computer world, "character" has a somewhat more specific technical meaning: it's a value from the "character set" represented by a code and that can be stored in a character or string variable. The old ASCII character set includes a number of "non-printable characters", control codes that were sent between devices. The idea of "non-printable characters" doesn't make much sense in conventional writing and printing.
9	You've asked for an "elaborate" explanation, so I'll elaborate. A character is a typographical symbol. For example, any of these could be classified as characters: $ A m ; * 3 + A letter is a symbol corresponding to a letter in an alphabet, such as M or G. One dictionary defines it as: letter (noun) a character representing one or more of the sounds used in speech; any of the symbols of an alphabet (from NOAD) Now, for some fun facts: The English language has twenty-six letters, which are represented using fifty-two characters (each letter has an upper-case and lower-case character version). The same letter can be represented by different-looking symbols (also known as fonts). What might be a letter in some languages could be considered a symbol in others. For example, µ is a Greek letter, but an English symbol. Also, ñ is a letter in Spanish, but, in English, one might describe that as "the letter n with a tilde over it." The two are not mutually exclusive – a letter can function as a symbol. For example, the c in cat functions as a letter, but the c in E = mc2 functions as a symbol for a constant (the speed of light). In summary, all letters can be symbols, but not all symbols can function as letters. Fun exercise for the learner From Wikipedia, under its entry for Angstrom: The ångström or angstrom is a unit of length equal to 10−10 m (one ten-billionth of a metre) or 0.1 nm. Its symbol is Å, a letter in the Scandinavian alphabets. (emphasis added) So, is Å a letter, or a symbol?
